jelqmaxxers,A,10302933,984,9938943,26
fut yeah,B,2922853,964,11652827,100
santa deniers,C,11141578,692,12736534,409
JTB x MTD: 2019,D,4012086,700,7477458,410
ASecretDozer,E,7341183,7,6659116,1264
CircleBeaters,F,16617297,862,7410343,616
saiyku carry,G,13767572,38,16277597,2039
meow,H,17493476,2038,18973222,400
Tapping 1 Tricks,I,11184264,784,9803745,1772
SUNKISS DROP ESP,J,8195473,112,6906789,2682
ANZTauri,K,11895985,2443,11469447,566
Mumii,L,11076938,3369,3068044,85
s=fc,M,12263141,1267,13165910,3474
PenguinDuckGaming,N,11414693,4068,6284683,953
Chopper 1 Piece :3,O,5754859,1367,10908786,3716
very fast speed,P,9660655,4112,13121209,1132
reading instaban,A,10665363,545,10759664,4710
gm,B,11518376,1853,13389574,3533
L9 RATEARL YMTDTH,C,12204360,2081,7978142,4052
Egoism 420,D,11380644,3300,3494615,3498
Tewi-Ma Park,E,8945180,2600,13748308,5193
sewerage slurpers,F,11906790,6207,4745025,1741
O2G,G,11114987,6061,10925506,2496
Michael Module2,H,6541404,6901,5717619,1719
ITS GOLDEN TIME,I,3222676,3845,10577222,4940
flosslikeaboss73,J,9447432,6252,13192231,3215
Cirno Pyramid,K,20963631,3972,18321104,5898
hot anime girl 727,L,12463047,8249,15429006,1624
oblock zonewars,M,11806306,48,17720805,10149
komarin,N,4922584,2679,2719307,7949
Bracken Bones,O,17421393,8285,15554489,2970
don't pick hd,P,19142610,12358,11310423,387
